시군명,병원명/센터명,업무구분명,대표전화번호,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,응급의료지원센터여부,전문응급의료센터여부,전문응급센터전문분야,권역외상센터여부,지역외상센터여부
경기도,경기응급의료지원센터,응급의료지원센터,031-8008-5641,"경기도 수원시 영통구 도청로 30, 23층",경기도 수원시 영통구 이의동 23층,16508,37.28933099,127.0534875,Y,,,,
수원시,(의)명인의료재단 화홍병원,지역센터,031-8021-6829,경기도 수원시 권선구 호매실로 90번길 98(호매실동),경기도 수원시 권선구 호매실동 1396-1번지,16630,37.26013278,126.9639256,,,,,
수원시,경기도의료원 수원병원,지역기관,031-888-0114,경기도 수원시 장안구 수성로 245번길 69,경기도 수원시 장안구 정자동 886-9번지,16316,37.29188691,126.9963396,,,,,
수원시,동수원병원,지역센터,031-210-0114,경기도 수원시 팔달구 중부대로 165(우만동),경기도 수원시 팔달구 우만동 157-7번지,16494,37.27816105,127.0343321,,,,,
수원시,성빈센트병원,지역센터,1577-8588,경기도 수원시 팔달구 중부대로 93(지동),경기도 수원시 팔달구 지동 93-6번지,16247,37.27791056,127.027983,,,,,
수원시,아주대학교병원,지역센터,1688-6114,경기도 수원시 영통구 월드컵로 1645(원천동),경기 수원시 영통구 원천동 산 26-6,16499,37.27947757,127.0473362,,,,Y,
수원시,윌스기념병원,지역기관,031-240-6119,경기도 수원시 팔달구 경수대로 437(인계동),경기도 수원시 팔달구 인계동 994-3번지,16480,37.26531737,127.0255466,,,,,
성남시,국군수도병원,지역기관,031-725-5114,경기도 성남시 분당구 새마을로 177번길 129(율동),경기도 성남시 분당구 율동 산13-4,13574,37.27947757,127.0473362,,,,,
성남시,분당서울대병원,권역센터,1588-3369,경기도 성남시 분당구 구미로173번길 82(구미동),경기도 성남시 분당구 구미동 300번지,13620,37.35201678,127.1244992,,,,,
성남시,분당제생병원,지역센터,031-779-0114,경기도 성남시 분당구 서현로180번길 20(서현동),경기도 성남시 분당구 서현동 255-2번지,13590,37.38820758,127.121777,,,,,
성남시,분당차병원,권역센터,031-780-5000,경기도 성남시 분당구 야탑로 59(야탑동),경기도 성남시 분당구 야탑동 351번지,13496,37.41046647,127.1258348,,Y,소아전문응급실,,
성남시,성남시의료원,지역기관,031-738-7300,경기도 성남시 수정구 수정로 171번길 10(태평동),경기도 성남시 수정구 태평동 3309번지,13290,37.44484987,127.1390489,,,,,
성남시,성남정병원,지역기관,031-750-6000,경기도 성남시 수정구 수정로 76(수진동),경기도 성남시 수정구 수진동 2968번지,13316,37.43985224,127.1290121,,,,,
성남시,성남중앙병원,지역기관,1577-7986,경기도 성남시 중원구 산성대로476번길 12(금광동),경기도 성남시 중원구 금광동 3956번지,13161,37.45283188,127.1620416,,,,,
의정부시,가톨릭대의정부성모병원,권역센터,1661-7500,경기도 의정부시 천보로 271(금오동),경기도 의정부시 금오동 65-1번지,11765,37.75852271,127.0779287,,,,Y,
의정부시,경기도의료원 의정부병원,지역기관,031-828-5000,경기도 의정부시 흥선로 142(의정부동),경기도 의정부시 의정부동 433번지,11671,37.74107618,127.0425137,,,,,
의정부시,을지대병원,지역센터,031-1899-0001,경기도 의정부시 동일로 712(금오동),경기도 의정부시 금오동 489번지,11759,37.75344564,127.0504065,,,,,
의정부시,의정부백병원,지역기관,031-856-8111,경기도 의정부시 금신로 322(신곡동),경기도 의정부시 신곡동 519-11번지,11778,37.7453058,127.0621356,,,,,
의정부시,추병원,지역기관,031-845-7777,경기도 의정부시 평화로 650(의정부동),경기도 의정부시 의정부동 234-2번지,11686,37.74977534,127.0452071,,,,,
안양시,안양샘병원,지역센터,031-467-9114,경기도 안양시 만안구 삼덕로 9(안양동),경기도 안양시 만안구 안양동 613-6번지,14030,37.39289395,126.9248196,,,,,
안양시,한림대성심병원,권역센터,031-380-1500,경기도 안양시 동안구 관평로170번길 22(평촌동),경기도 안양시 동안구 평촌동 896번지,14068,37.39165368,126.9619737,,,,,
부천시,가톨릭대부천성모병원,지역센터,1577-0675,경기도 부천시 원미구 소사로 327(소사동),경기도 부천시 소사동 2번지,14647,37.48672956,126.792641,,,,,
부천시,다니엘종합병원,지역기관,032-670-0001,경기도 부천시 원미구 중동로 361(약대동),경기도 부천시 약대동 138-7번지,14513,37.51233114,126.7694863,,,,,
부천시,부천세종병원,지역센터,1599-6677,경기도 부천시 소사구 소현로 489번길 28(소사본동),경기도 부천시 소사본동 91-121번지,14754,37.48104235,126.7911903,,,,,
부천시,순천향대부천병원,권역센터,032-621-5114,경기도 부천시 원미구 조마루로 170(중동),경기도 부천시 중동 1174번지,14584,37.4983685,126.7621105,,,,,
광명시,광명성애병원,지역센터,02-2680-7114,경기도 광명시 디지털로 36(철산동),경기도 광명시 철산동 389번지,14241,37.47321402,126.8716164,,,,,
광명시,중앙대광명병원,지역센터,1811-7800,경기도 광명시 덕안로 110 (일직동),경기도 광명시 일직동 501번지,14353,37.4245797,126.8859245,,,,,
평택시,굿모닝병원,지역센터,031-659-7700,경기도 평택시 중앙로 338(합정동),경기도 평택시 합정동 883번지,17874,36.9905649,127.1204512,,,,,
평택시,박병원,지역기관,031-666-2600,경기도 평택시 송탄로 33(장당동),경기도 평택시 장당동 470-4번지,17784,37.04826214,127.0570066,,,,,
평택시,박애병원,지역기관,031-652-2121,경기도 평택시 평택2로20번길 3(평택동),경기도 평택시 평택동 41-2번지,17909,36.99305657,127.0890739,,,,,
평택시,평택성모병원,지역센터,031-1800-8800,경기도 평택시 평택로 284번지(세교동),경기도 평택시 세교동 439-3번지,17825,37.00837424,127.0743681,,,,,
안산시,고려대안산병원,권역센터,031-412-5114,경기도 안산시 단원구 적금로 123(고잔동),경기도 안산시 단원구 고잔동 516번지,15355,37.31885934,126.8249944,,,,,
안산시,근로복지공단안산병원,지역기관,031-500-1114,경기도 안산시 상록구 구룡로 87(일동),경기도 안산시 상록구 일동 95번지,15324,37.3167671,126.8739933,,,,,
안산시,단원병원,지역기관,031-8040-6600,경기도 안산시 단원구 원포공원1로20 (초지동),경기도 안산시 단원구 초지동 745-2번지,15457,37.30022334,126.8132458,,,,,
안산시,사랑의병원,지역기관,031-439-3000,경기도 안산시 상록구 예술광장로 69,경기도 안산시 상록구 성포동 593-4번지,15291,37.3269215,126.8449233,,,,,
안산시,한도병원,지역센터,031-8040-1114,경기도 안산시 단원구 선부광장로 103(선부동),경기도 안산시 단원구 선부동 1071-1번지,15367,37.3340553,126.8076211,,,,,
고양시,국립암센터,지역기관,031-920-0118,경기도 고양시 일산동구 일산로 323(마두동),경기도 고양시 일산동구 마두동 809번지,10408,37.66323673,126.7833956,,,,,
고양시,국민건강보험공단일산병원,지역센터,031-900-0114,경기도 고양시 일산동구 일산로 100(백석동),경기도 고양시 일산동구 백석동 1232번지,10444,37.64547527,126.7929632,,,,,
고양시,동국대일산불교병원,지역센터,1577-7000,경기도 고양시 일산동구 동국로 27(식사동),경기도 고양시 일산동구 식사동 814번지,10326,37.67643852,126.8055631,,,,,
고양시,명지병원,권역센터,031-810-5114,경기도 고양시 덕양구 화수로14번길 55(화정동),경기도 고양시 덕양구 화정동 697-1번지,10475,37.64247457,126.8317455,,,,,
고양시,인제대일산백병원,지역센터,031-910-7114,경기도 고양시 일산서구 주화로 170(대화동),경기도 고양시 일산서구 대화동 2240번지,10380,37.67427101,126.7503818,,,,,
고양시,일산차병원,지역기관,031-782-8300,경기도 고양시 일산동구 중앙로 1205,경기도 고양시 일산동구 장항동 889번지,10414,37.65412266,126.7757403,,,,,
구리시,한양대구리병원,지역센터,031-560-2114,경기도 구리시 경춘로 153(교문동),경기도 구리시 교문동 249-1번지,11923,37.60118837,127.1325173,,,,,
남양주시,남양주나눔병원,지역기관,031-570-1119,경기도 남양주시 오남읍 진건오남로 797번길 9,경기도 남양주시 오남읍 양지리 104-2번지,12045,37.69811506,127.2015749,,,,,
남양주시,남양주한양병원,지역센터,031-510-0114,경기도 남양주시 오남읍 양지로 47-55,경기도 남양주시 오남읍 오남리 570번지,12048,37.6823216,127.204326,,,,,
남양주시,엘병원,지역기관,1899-3377,경기도 남양주시 퇴계원읍 퇴계원로 20,경기도 남양주시 퇴계원읍 퇴계원리 218-20번지,12122,37.64877869,127.1411137,,,,,
남양주시,현대병원,지역센터,031-574-9119,경기도 남양주시 진접읍 장현로 52,경기도 남양주시 진접읍 장현리 663번지,12013,37.71567866,127.1796858,,,,,
오산시,오산한국병원,지역센터,031-379-8300,경기도 오산시 밀머리로1번길 16(원동),경기도 오산시 원동 560-70번지,18144,37.1412847,127.075595,,,,,
시흥시,센트럴병원,지역기관,1588-9339,경기도 시흥시 공단1대로 237(정왕동),경기도 시흥시 정왕동 1366-11번지,15079,37.33687042,126.7279759,,,,,
